0,iw8_sh_t9pump_variant_0,iw8_sh_t9pump,,,,,,,,,,,,,,,WEAPON_TANGO/SH_T9PUMP,ui_loot_weapon_sh_t9pump,,,,
11,iw8_sh_t9pump_variant_11,iw8_sh_t9pump,,rec|13 front|13 back|13 guard|13,,barcust3|7,lasermix2|1,,reflexmini|1,,,stockno|2,,,,,WEAPON_VICTOR/SH_T9PUMP_V12,ui_loot_weapon_sh_t9pump_v11,,,,
12,iw8_sh_t9pump_variant_12,iw8_sh_t9pump,,rec|14 front|14 back|14 guard|14,comp|1,barcust3|8,laserbalanced|0,,reflexmini2|0,,,stockno|3,,,,,WEAPON_VICTOR/SH_T9PUMP_V13,ui_loot_weapon_sh_t9pump_v12,,,,
13,iw8_sh_t9pump_variant_5_sy,iw8_sh_t9pump,,rec|10 front|10 back|10 guard|10,,barcust3|5,laserads|0,,,,pistolgrip04|2,stockno|0,,,,,WEAPON_TANGO/SH_T9PUMP_V6,ui_loot_weapon_sh_t9pump_v5,,,,
14,iw8_sh_t9pump_variant_14,iw8_sh_t9pump,,rec|15 front|15 back|15 guard|15,,barcust3|9,,,reflexmini2|0,xmags|3,pistolgrip01|2,stockno|4,,,,,WEAPON_XRAY/SH_T9PUMP_V14,ui_loot_weapon_sh_t9pump_v14,,,,
15,iw8_sh_t9pump_variant_15,iw8_sh_t9pump,iw8_sh_t9pump_mpa,rec|1 front|1 back|1 guard|1 mag|1,,barmid|3,lasermix|0,,,,pistolgrip04|4,stockl|1,,,,,WEAPON_XRAY/SH_T9PUMP_V15,ui_loot_weapon_sh_t9pump_v15,,,,
16,iw8_sh_t9pump_variant_16,iw8_sh_t9pump,iw8_sh_t9pump_mpdmb,rec|2 front|2 back|2 guard|2 mag|2,silencer4|1,stockcust|1,laser|1,,reflexmini|2,,pistolgrip06|2,,,,,,WEAPON_XRAY/SH_T9PUMP_V16,ui_loot_weapon_sh_t9pump_v16,,amethyst,runicDis,
17,iw8_sh_t9pump_variant_17,iw8_sh_t9pump,iw8_sh_t9pump_mpdmb2,rec|3 front|3 back|3 guard|3 mag|3,linearbrake|2,barmid|4,laserbalanced|1,,reflex|1,,,stocks|1,,,,,WEAPON_YANKEE/SH_T9PUMP_V17,ui_loot_weapon_sh_t9pump_v17,,green,radioactive,
18,iw8_sh_t9pump_variant_18,iw8_sh_t9pump,iw8_sh_t9pump_mpa,rec|4 front|4 back|4 guard|4 mag|4,linearbrake|0,barlong|1,laser|0,,,,pistolgrip06|4,stockfold|2,,,,,WEAPON_ZULU/SH_T9PUMP_V18,ui_loot_weapon_sh_t9pump_v18,,,,
19,iw8_sh_t9pump_variant_19,iw8_sh_t9pump,iw8_sh_t9pump_mpa,rec|5 front|5 back|5 guard|5,silencer3|1,barcust2|3,,,,xmagslrg|4,pistolgrip04|5,stockfold|3,,,,,WEAPON_ACTOR/SH_T9PUMP_V19,ui_loot_weapon_sh_t9pump_,,,,
20,iw8_sh_t9pump_variant_5_pc,iw8_sh_t9pump,,rec|5 front|5 back|5 guard|5,,barcust3|3,laserads|0,,,,pistolgrip04|1,stockno|0,,,,,WEAPON_TANGO/SH_T9PUMP_V6,ui_loot_weapon_sh_t9pump_v5,,,,
