0,iw8_sm_t9standard_variant_0,iw8_sm_t9standard,,,,,,,,,,,,,,,WEAPON_TANGO/SM_T9STANDARD,ui_loot_weapon_sm_t9standard,,,,
11,iw8_sm_t9standard_variant_11,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|11 front|11 back|11 mag|11,comp|1,,,,reflex3|1,smags|2,pistolgrip04|1,stockh|3,,,,,WEAPON_VICTOR/SM_T9STANDARD_V11,ui_loot_weapon_sm_t9standard_v11,,,,
12,iw8_sm_t9standard_variant_12,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|12 front|12 back|12 mag|12,,barshort|2,,gripang|2,,xmags|2,pistolgrip04|2,stockh|4,,,,,WEAPON_VICTOR/SM_T9STANDARD_V12,ui_loot_weapon_sm_t9standard_v12,,,,
13,iw8_sm_t9standard_variant_13,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|13 front|13 back|13 mag|13,,barshort|3,,,,xmagslrg|2,pistolgrip01|0,stockcust|2,,,,,WEAPON_VICTOR/SM_T9STANDARD_V13,ui_loot_weapon_sm_t9standard_v13,,,,
14,iw8_sm_t9standard_variant_14,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|14 front|14 back|14 mag|14,silencer|3,,,gripang|3,,smags|0,pistolgrip05|2,stocks|3,,,,,WEAPON_VICTOR/SM_T9STANDARD_V14,ui_loot_weapon_sm_t9standard_v14,,,,
15,iw8_sm_t9standard_variant_15,iw8_sm_t9standard,iw8_sm_t9standard_mpcb,rec|15 front|15 back|15 mag|15,comp|2,,laserbalanced|3,,reflex3|2,,pistolgrip04|3,stockno|1,,,,,WEAPON_XRAY/SM_T9STANDARD_V15,ui_loot_weapon_sm_t9standard_v15,,,,
16,iw8_sm_t9standard_variant_16,iw8_sm_t9standard,iw8_sm_t9standard_mpmtx2,rec|1 front|1 back|1 mag|1,silencer2|2,,,gripangpro|3,,xmagslrg|3,pistolgrip04|0,stocks|4,,,,,WEAPON_XRAY/SM_T9STANDARD_V16,ui_loot_weapon_sm_t9standard_v16,,goldPurple,,
17,iw8_sm_t9standard_variant_17,iw8_sm_t9standard,iw8_sm_t9standard_mpdmb3,rec|2 front|2 back|2 mag|2,,barcust|2,,,reflex|1,smags2|3,pistolgrip03|3,stockfold|3,,,,,WEAPON_XRAY/SM_T9STANDARD_V17,ui_loot_weapon_sm_t9standard_v17,,amethyst,runicDis,
18,iw8_sm_t9standard_variant_18,iw8_sm_t9standard,iw8_sm_t9standard_mpcba,rec|3 front|3 back|3 mag|3,,barshort|4,laserrange|2,gripcust|3,,smags2|4,,stockh|5,,,,,WEAPON_XRAY/SM_T9STANDARD_V18,ui_loot_weapon_sm_t9standard_v18,,,,
19,iw8_sm_t9standard_variant_19,iw8_sm_t9standard,iw8_sm_t9standard_mpdmb2,rec|4 front|4 back|4 mag|4,comp|3,,lasermix2|1,,holo|3,,pistolgrip04|4,stockcust|3,,,,,WEAPON_XRAY/SM_T9STANDARD_V19,ui_loot_weapon_sm_t9standard_v19,,acid,acidDis,
20,iw8_sm_t9standard_variant_20,iw8_sm_t9standard,iw8_sm_t9standard_mpmtx3,rec|5 front|5 back|5 mag|5,silencer4|2,,,gripang|4,,fastmags|2,pistolgrip01|1,stocks|5,,,,,WEAPON_YANKEE/SM_T9STANDARD_V20,ui_loot_weapon_sm_t9standard_v20,,orange,shatterBlast,
21,iw8_sm_t9standard_variant_21,iw8_sm_t9standard,iw8_sm_t9standard_mpmtx4,rec|6 front|6 back|6 mag|6,silencer3|1,barcust|3,,,holo2|2,fastmags|3,,stockh|6,,,,,WEAPON_ZULU/SM_T9STANDARD_V21,ui_loot_weapon_sm_t9standard_v21,,paintball,,
22,iw8_sm_t9standard_variant_22,iw8_sm_t9standard,iw8_sm_t9standard_mpcba,rec|7 front|7 back|7 mag|7,silencer4|3,barshort|5,,gripvertpro|3,,xmagslrg|4,,,,,,,WEAPON_ZULU/SM_T9STANDARD_V22,ui_loot_weapon_sm_t9standard_v22,,,,
23,iw8_sm_t9standard_variant_23,iw8_sm_t9standard,iw8_sm_t9standard_mpdmb4,rec|8 front|8 back|8 mag|8,silencer|4,,,gripangpro|4,,xmagslrg|5,pistolgrip04|5,stocks|6,,,,,WEAPON_ZULU/SM_T9STANDARD_V23,ui_loot_weapon_sm_t9standard_v23,,freedom,fireworkDis,
24,iw8_sm_t9standard_variant_24,iw8_sm_t9standard,iw8_sm_t9standard_mpcba,rec|9 front|9 back|9 mag|9,,,laserrange|3,gripcust|4,holo2|3,xmagslrg|6,,stocks|7,,,,,WEAPON_ZULU/SM_T9STANDARD_V24,ui_loot_weapon_sm_t9standard,,,,
25,iw8_sm_t9standard_variant_25,iw8_sm_t9standard,iw8_sm_t9standard_mpcba,rec|10 front|10 back|10 mag|10,silencer2|3,,,gripangpro|5,,fastmags2|2,pistolgrip06|3,,,,,,WEAPON_ACTOR/SM_T9STANDARD_V25,ui_loot_weapon_sm_t9standard,,,,
